run,subrun,event,col_wire,col_time,ind_wire,ind_time
8562,123,5603,28,1179,21,1159
8562,123,5614,30,1352,18,1334
8562,132,6052,17,1598,32,1579
8562,132,6057,39,1206,16,1201
8562,141,6548,18,1004,31,985
8562,144,6664,46,863,24,904
8562,146,6756,28,1391,21,1369
8562,146,6791,33,1458,14,1430
8562,150,6945,36,1319,13,1295
8562,155,7160,16,1635,33,1612
8562,189,8749,28,1233,22,1208
8562,193,8936,18,1288,30,1258
8562,198,9169,26,1175,24,1153
8562,205,9471,22,1161,27,1152
8562,211,9758,21,1246,27,1208
8562,215,9959,27,992,21,965
8562,216,10010,23,1297,25,1276
8562,218,10116,28,1003,29,1009
8562,220,10175,30,1161,18,1134
8562,220,10180,195,1335,115,1358
8562,221,10237,21,1235,28,1216
8562,224,10359,25,1194,24,1157
8562,225,10400,83,826,16,967
8562,229,10594,14,1414,34,1400
8562,229,10618,21,1059,27,1029
8562,231,10689,31,1182,16,1148
8562,243,11238,35,1129,13,1113
8562,245,11330,27,1282,22,1265
8562,253,11721,32,1360,16,1327
8562,254,11752,32,901,29,916
8562,254,11754,31,1481,17,1453
8562,261,12097,35,1460,13,1443
8562,265,12297,21,1018,27,1001
8562,266,12379,35,1538,13,1515
8562,273,12693,21,1242,27,1213
8562,287,13330,128,1083,23,1084
8562,288,13373,31,1055,17,1025
8562,294,13622,32,1236,17,1212
8562,294,13639,33,1037,29,1053
8562,300,13936,30,1503,18,1475
8562,302,14034,30,1555,19,1531
8562,309,14387,33,1077,16,1051
8562,325,15177,23,1146,24,1110
8562,334,15598,25,1214,29,1215
8562,336,15700,29,1010,20,985
8562,342,16000,30,1574,18,1554
8562,344,16121,15,1171,32,1132
8562,345,16136,30,986,94,756
8562,348,16303,21,1049,26,1020
8562,350,16406,24,1196,25,1175
8562,350,16414,19,1429,29,1390
8562,352,16474,29,1435,20,1413
8562,352,16501,18,1714,31,1695
8563,3,397,30,1509,19,1485
8563,12,856,26,1060,23,1030
8563,15,1019,29,1189,20,1154
8563,17,1089,28,1135,20,1105
8563,23,1376,21,1243,28,1224
8563,23,1395,18,1355,30,1326
8563,27,1574,27,1057,23,1034
8563,30,1686,28,1234,22,1211
8563,30,1696,32,1196,16,1172
8563,32,1789,16,1267,32,1244
8563,53,2818,32,889,16,853
8563,54,2890,31,1444,17,1399
8563,56,2956,28,1097,21,1074
8563,56,2963,23,990,25,968
8563,59,3115,30,1706,18,1671
8563,64,3349,36,1592,13,1570
8563,67,3472,25,1015,25,996
8563,68,3541,32,1488,16,1455
8563,73,3775,31,1568,18,1543
8563,77,3958,36,1596,12,1564
8563,82,4208,47,933,21,963
8563,93,4714,31,1199,18,1175
8563,98,4979,25,1715,24,1674
8563,100,5078,23,1514,25,1492
8563,102,5149,31,1237,19,1213
8563,104,5257,28,1053,21,1035
8563,107,5419,37,1684,11,1650
8563,114,5750,22,1338,47,1197
8563,116,5849,15,938,33,909
8563,122,6161,23,1048,26,1024
8563,122,6186,21,1266,26,1237
8563,131,6619,24,1084,25,1072
8563,132,6668,23,1200,26,1170
8563,138,6926,32,1170,16,1156
8563,139,6982,24,1609,25,1574
8563,141,7090,28,1229,20,1206
8563,143,7165,30,1334,18,1313
8563,146,7316,23,1181,25,1154
8563,146,7321,17,1206,31,1178
8563,149,7433,21,1102,27,1085
8563,151,7514,30,1170,18,1159
8563,158,7847,23,1357,26,1335
8563,159,7891,25,1293,23,1263
8563,161,7986,93,675,124,664
8563,162,8046,26,1091,23,1067
8563,163,8079,33,1254,14,1218
8563,166,8225,25,1266,24,1233
8563,171,8516,21,1191,27,1172
8563,172,8537,24,947,28,949
8563,174,8653,36,1487,13,1471
8563,176,8767,31,1207,17,1190
8563,177,8807,22,1472,28,1454
8563,190,9450,108,683,19,957
8563,191,9490,21,851,27,831
8563,194,9634,43,915,13,916
8563,202,10008,25,1191,24,1152
8563,202,10032,30,1570,21,1553
