run,subrun,event
8725,100,13593
8725,104,14079
8725,104,14119
8599,6,636
8599,8,802
8599,13,1292
8599,15,1471
8599,15,1473
8599,17,1644
8599,17,1667
8599,21,2022
8599,22,2112
8599,25,2448
8599,27,2630
8599,41,3974
8599,57,5488
8599,64,6106
8599,68,6502
8599,74,7069
8599,82,7778
8599,83,7871
8725,5,692
8725,6,849
8725,7,1005
8725,9,1257
8725,11,1580
8725,13,1821
8725,22,2715
8725,22,2725
8725,25,3140
8725,26,3319
8725,26,3328
8725,28,3591
8725,29,3752
8725,29,3766
8725,34,4451
8725,39,5131
8725,39,5132
8725,39,5133
8725,39,5170
8725,47,6186
8725,47,6229
8725,48,6310
8725,53,7049
8725,56,7445
8725,56,7481
8725,59,7915
8725,64,8604
8725,73,9598
8725,73,9610
8725,92,12358
8725,92,12376
8725,93,12532
8725,103,13945
8725,103,13952
8725,105,14269
8725,21,2554
8725,21,2564
8725,35,4585
8725,38,5035
8725,54,7188
8725,57,7609
8725,57,7612
8725,58,7769
8725,74,9726
8725,74,9776
8725,74,9777
8725,75,9924
8725,77,10189
8725,94,12656
8725,94,12672
8725,99,13455
8726,43,4165
8726,43,4166
8733,7,1225
8733,20,2434
8733,20,2440
8733,20,2441
8733,20,2445
8733,20,2449
8733,20,2463
8733,36,4095
8733,56,6193
8733,60,6632
8733,62,6827
8733,81,8886
8733,81,8909
8733,102,11100
8726,20,2129
8726,24,2480
8733,11,1650
8733,11,1660
8733,12,1748
8733,30,3448
8733,30,3460
8733,31,3548
8733,31,3561
8733,31,3566
8733,35,4013
8733,57,6310
8733,58,6403
8733,58,6421
8733,71,7761
8733,71,7793
8733,71,7797
8733,79,8659
8733,79,8683
8733,83,9118
8733,84,9221
8733,104,11280
8733,104,11295
8560,18,725
8560,18,752
8560,26,1085
8560,68,2869
8560,97,4060
8560,114,4750
8560,114,4768
8560,121,5050
8560,141,5911
8560,171,7240
8560,171,7250
8560,174,7383
8560,174,7385
8560,174,7388
8560,182,7733
8560,221,9496
8560,227,9800
8560,251,10916
8560,253,11025
8630,32,2066
8630,72,4835
8630,75,5031
8630,95,6462
8630,105,7119
8630,135,9145
8630,135,9147
8630,151,10188
8630,154,10381
8630,180,12244
8630,202,13756
8630,206,14038
8630,216,14699
8632,11,880
8632,17,1322
8632,36,2855
8632,60,4780
8632,130,11083
8632,131,11165
8632,161,13185
8632,161,13197
8632,169,13789
8722,8,1005
8722,14,1826
8722,14,1877
8722,30,4166
8722,36,5003
8722,52,7412
