run,subrun,event
8591,248,24202
8591,282,27579
8591,289,28222
8591,332,32239
8591,350,33858
8605,41,3822
8605,63,5832
8605,81,7603
8605,98,9124
8605,108,9975
8605,173,15732
8605,196,17798
8591,12,995
8591,205,20024
8591,240,23449
8591,244,23824
8591,278,27171
8591,284,27733
8591,287,28030
8591,313,30478
8591,333,32336
9436,67,4682
9436,67,4691
9436,67,4694
9436,77,5979
9436,82,6446
9436,84,6730
9436,84,6746
9436,119,11339
9436,124,11998
9436,125,12121
9436,134,13307
9436,135,13432
9436,136,13595
9436,136,13597
9436,141,14116
9436,141,14124
9436,141,14138
9436,141,14158
9436,147,14962
9436,162,16945
9436,162,16964
9436,162,16971
9436,167,17675
9436,172,18427
9436,173,18506
9436,173,18510
9436,173,18527
9436,176,18949
9436,179,19378
9436,183,20028
9436,185,20273
9436,185,20299
9436,188,20752
9436,188,20794
9436,192,21336
9437,1,21
9437,1,61
9437,2,179
9437,2,229
9437,2,247
9437,3,344
9437,3,348
9437,3,406
9437,4,492
9437,7,1010
9437,9,1230
9437,9,1233
9437,9,1267
9437,10,1401
9437,11,1617
9436,69,4845
9436,73,5378
9436,74,5512
9436,74,5577
9436,80,6147
9436,81,6336
9436,83,6611
9436,83,6633
9436,85,6895
9436,86,7079
9436,121,11598
9436,123,11857
9436,123,11916
9436,128,12498
9436,131,12934
9436,132,13079
9436,137,13677
9436,138,13836
9436,143,14405
9436,145,14706
9436,145,14708
9436,148,15125
9436,152,15607
9436,153,15795
9436,156,16153
9436,156,16196
9436,156,16199
9436,159,16552
9436,160,16726
9436,161,16831
9436,168,17793
9436,168,17805
9436,175,18844
9436,177,19101
9436,177,19151
9436,177,19166
9436,181,19676
9436,181,19701
9436,181,19710
9436,189,20908
9436,190,21084
9436,191,21188
9533,2,156
9533,12,871
9533,13,936
9533,15,1085
9533,17,1192
9533,17,1212
9533,25,1749
9533,25,1752
9533,26,1813
9533,32,2274
9533,45,3199
9533,48,3408
9533,50,3526
9533,50,3537
9533,54,3837
9533,57,4062
9533,74,5336
9533,95,6795
9533,96,6875
9533,97,6947
9533,116,8288
9533,130,9347
9533,132,9494
9533,134,9646
9533,161,11581
9533,171,12316
9533,20,1401
9533,29,2051
9533,33,2334
9533,58,4127
9533,58,4140
9533,70,5002
9533,70,5030
9533,82,5918
9533,82,5935
9533,101,7270
9533,113,8082
9533,113,8094
9533,113,8100
9533,121,8660
9533,140,10064
9533,140,10073
9533,158,11359
9533,166,11968
9533,172,12389
9533,174,12548
9533,174,12562
9533,179,12835
9783,2,246
9783,6,838
9783,8,1133
9783,18,2718
9783,19,2850
9783,21,3173
9783,23,3486
9783,26,3946
9783,27,4068
9783,27,4074
9783,27,4119
9783,28,4265
9783,30,4602
9783,37,5653
9783,38,5814
9783,38,5815
9783,42,6436
9788,6,434
9788,11,878
9788,11,897
9788,61,4229
9788,69,4937
9788,69,4944
9788,72,5235
9788,73,5323
9788,77,5649
9788,98,7503
9788,124,9980
9788,136,11189
9788,138,11374
9788,147,12272
9788,153,12856
9788,155,13051
9788,169,14476
9788,171,14637
9788,202,17771
9788,202,17792
9788,256,22519
9788,258,22697
9788,266,23333
9788,266,23345
9788,268,23513
9788,270,23702
9788,275,24144
9788,275,24164
9788,276,24257
9788,278,24438
9788,278,24441
9788,279,24509
9788,282,24722
9788,283,24820
9788,288,25253
9788,291,25535
9788,295,25870
9788,299,26200
9788,310,27127
9762,2,984
9762,7,1571
9762,7,1589
9762,14,2407
9762,22,3291
9762,38,4783
9762,40,4989
9762,40,4999
9762,45,5275
9762,45,5287
9762,50,5809
9762,55,6360
9762,78,8732
9762,81,9014
9762,89,9687
9762,105,11062
9762,109,11444
9762,113,11766
9762,150,14470
9762,160,15404
9762,167,15993
9762,176,16785
9762,179,17020
9762,202,19100
9762,213,20068
9762,223,20994
9762,248,23197
9762,253,23588
9762,267,24791
9788,262,23012
9788,273,23935
9788,292,25582
9788,298,26122
9788,308,26948
9788,311,27203
9788,311,27215
9780,111,17057
9781,86,14372
9781,107,17638
9781,113,18579
9781,126,20497
9781,131,21256
9781,132,21448
9788,1,26
9788,2,94
9788,4,276
9788,19,1614
9788,25,2107
9788,26,2203
9788,26,2211
9788,75,5479
9788,85,6323
9788,88,6586
9788,88,6604
9788,88,6615
9788,94,7132
9788,102,7851
9788,123,9845
9788,127,10248
9788,127,10276
9788,128,10376
9788,133,10854
9788,133,10858
9788,139,11495
9788,151,12677
9788,157,13260
9788,161,13635
9788,167,14242
9788,174,14967
9788,176,15208
9788,188,16447
9788,193,16910
9788,195,17125
9788,198,17408
9788,198,17428
9788,219,19477
9788,220,19536
9788,9,693
9788,12,958
9788,13,1063
9788,16,1316
9788,60,4162
9788,70,5048
9788,71,5146
9788,78,5742
9788,80,5883
9788,87,6497
9788,92,6933
9788,93,7032
9788,101,7781
9788,117,9302
9788,129,10476
9788,140,11590
9788,140,11606
9788,143,11907
9788,143,11909
9788,154,12938
9788,156,13161
9788,159,13444
9788,168,14364
9788,170,14540
9788,173,14886
9788,175,15117
9788,185,16093
9788,185,16103
9788,186,16228
9788,205,18091
9788,205,18124
9788,206,18198
9788,208,18401
9788,212,18790
9788,213,18905
9788,215,19082
9788,223,19822
9788,223,19836
9788,224,19935
9788,238,21020
9788,239,21106
9788,251,22142
9788,251,22144
9788,254,22342
9762,20,3104
9762,32,4257
9762,51,5924
9762,51,5939
9762,82,9091
9762,92,9982
9762,102,10753
9762,120,12415
9762,120,12440
9762,149,14365
9762,161,15475
9762,172,16439
9762,194,18387
9762,197,18653
9762,200,18910
9762,200,18919
9762,209,19724
9762,215,20258
9762,215,20270
9762,237,22249
9762,250,23335
9762,251,23421
9762,254,23671
9762,254,23675
9762,264,24524
9762,265,24598
9762,278,25803
9762,279,25850
9762,289,26618
9762,290,26713
9762,292,26885
9762,311,28411
9762,330,29959
9762,330,29962
