n_train,latent_dim,seed,vae_best_epoch,vae_best_val_loss,flow_best_epoch,flow_best_val_nll,train_RE_mean,val_RE_mean,kaon_RE_mean,auc,best_thr_nll,purity,precision,kaon_eff,recall,f1,proton_fpr,proton_eff,tn,fp,fn,tp,kaon_eff_at_1pct_fpr,valp_below_n,valp_below_mass_mean,valp_below_mass_std,valp_below_chi2_k_mean,valp_below_chi2_k_std,valp_below_chi2_p_mean,valp_below_chi2_p_std,valp_below_RE_mean,valp_below_RE_std,valp_above_n,valp_above_mass_mean,valp_above_mass_std,valp_above_chi2_k_mean,valp_above_chi2_k_std,valp_above_chi2_p_mean,valp_above_chi2_p_std,valp_above_RE_mean,valp_above_RE_std,kaon_below_n,kaon_below_mass_mean,kaon_below_mass_std,kaon_below_chi2_k_mean,kaon_below_chi2_k_std,kaon_below_chi2_p_mean,kaon_below_chi2_p_std,kaon_below_RE_mean,kaon_below_RE_std,kaon_above_n,kaon_above_mass_mean,kaon_above_mass_std,kaon_above_chi2_k_mean,kaon_above_chi2_k_std,kaon_above_chi2_p_mean,kaon_above_chi2_p_std,kaon_above_RE_mean,kaon_above_RE_std
256,4,1298,100,1802.2962812943892,69,3.0924789905548096,0.10080791264772415,0.11382053792476654,0.4466143846511841,0.8265761598283723,4.473867416381836,0.712082262210797,0.712082262210797,0.7554545454545455,0.7554545454545455,0.733127481252757,0.24778761061946902,0.7522123893805309,1020,336,269,831,0.14727272727272728,1020,936.3460693359375,62.40927505493164,2.0061538219451904,2.221184492111206,1.7910453081130981,2.7392160892486572,0.09240887314081192,0.031546223908662796,336,928.6088256835938,73.25614929199219,2.2775046825408936,2.2950046062469482,1.7353800535202026,2.3248724937438965,0.17882025241851807,0.12884953618049622,269,513.757080078125,75.64330291748047,2.564155101776123,3.1014583110809326,2.938741683959961,2.690868616104126,0.2043810486793518,0.14364250004291534,831,492.2721252441406,61.91937255859375,3.5942206382751465,8.432044982910156,3.740976572036743,6.230757713317871,0.525026798248291,0.30877190828323364
256,4,2298,90,1963.4321011629972,148,2.053272247314453,0.11234240978956223,0.13191436231136322,0.4555504024028778,0.855699919549477,3.974104881286621,0.7574955908289241,0.7574955908289241,0.7809090909090909,0.7809090909090909,0.7690241718889884,0.2028023598820059,0.7971976401179941,1081,275,241,859,0.2309090909090909,1081,935.78564453125,63.39219284057617,1.9612704515457153,2.2291975021362305,1.7037394046783447,2.6263604164123535,0.11285676062107086,0.03893984109163284,275,929.0958862304688,72.291748046875,2.514127731323242,2.241443634033203,2.0662243366241455,2.6874544620513916,0.2068280428647995,0.12893688678741455,241,519.6476440429688,79.501953125,2.5926311016082764,3.1199517250061035,2.9004666805267334,2.658596992492676,0.2329719215631485,0.1862972378730774,859,491.31982421875,60.51013946533203,3.5526554584503174,8.313241958618164,3.7255656719207764,6.151675224304199,0.5179967880249023,0.2925596833229065
512,4,554,92,1576.4108775745738,131,2.282457113265991,0.08900131285190582,0.10440347343683243,0.43697285652160645,0.8549172030034862,4.404284477233887,0.7452667814113597,0.7452667814113597,0.7872727272727272,0.7872727272727272,0.7656940760389036,0.2182890855457227,0.7817109144542773,1060,296,234,866,0.28363636363636363,1060,934.794189453125,63.742488861083984,1.9992668628692627,2.2193169593811035,1.7997130155563354,2.7560994625091553,0.08700144290924072,0.03301822021603584,296,933.1205444335938,70.79073333740234,2.338836431503296,2.3053550720214844,1.6968179941177368,2.1867353916168213,0.16672155261039734,0.10047800093889236,234,524.8530883789062,77.72684478759766,2.493074893951416,2.8823440074920654,2.7893474102020264,2.6125736236572266,0.1592562049627304,0.09725659340620041,866,490.1422424316406,60.63141632080078,3.571796178817749,8.304598808288574,3.7489216327667236,6.132815361022949,0.5120140910148621,0.29397836327552795
512,4,1554,48,1814.2817049893465,93,1.0430269241333008,0.11721546947956085,0.12826083600521088,0.43889233469963074,0.8778771118262269,3.566377878189087,0.7741935483870968,0.7741935483870968,0.7854545454545454,0.7854545454545454,0.779783393501805,0.18584070796460178,0.8141592920353983,1104,252,236,864,0.2309090909090909,1104,936.5535278320312,63.99462890625,1.984311580657959,2.203251838684082,1.73997962474823,2.6730260848999023,0.10922304540872574,0.03683650866150856,252,925.1209106445312,70.2264633178711,2.4636456966400146,2.3693065643310547,1.94054114818573,2.4994611740112305,0.21166445314884186,0.12284582853317261,236,516.2427368164062,80.91513061523438,2.287590503692627,3.373753070831299,2.599700450897217,2.5718164443969727,0.18585561215877533,0.11655827611684799,864,492.413818359375,60.5655517578125,3.6304209232330322,8.254142761230469,3.8029444217681885,6.1339945793151855,0.5080088376998901,0.2898360788822174
512,4,2554,76,1649.4060169566762,41,3.2901718616485596,0.08290927112102509,0.09756064414978027,0.42142966389656067,0.8350559801555377,3.8502917289733887,0.7313304721030043,0.7313304721030043,0.7745454545454545,0.7745454545454545,0.752317880794702,0.2308259587020649,0.7691740412979351,1043,313,248,852,0.17272727272727273,1043,935.6251220703125,62.80361557006836,1.988118052482605,2.3218395709991455,1.7583867311477661,2.694931745529175,0.07804141938686371,0.02980789728462696,313,930.4426879882812,73.06031036376953,2.3575439453125,1.9284099340438843,1.8401167392730713,2.459961414337158,0.16260391473770142,0.10468418151140213,248,511.8447570800781,77.38863372802734,2.387843370437622,2.4766733646392822,2.7894721031188965,2.3807506561279297,0.19235478341579437,0.15691065788269043,852,493.35833740234375,61.9367790222168,3.620152235031128,8.396689414978027,3.764652729034424,6.199882507324219,0.48810872435569763,0.292603999376297
1024,4,1066,74,1354.369950727983,136,2.022101879119873,0.07237869501113892,0.07954155653715134,0.4072471261024475,0.8616076696165191,4.937749862670898,0.812,0.812,0.7381818181818182,0.7381818181818182,0.7733333333333333,0.13864306784660768,0.8613569321533924,1168,188,288,812,0.28363636363636363,1168,933.805419921875,64.40735626220703,1.9986381530761719,2.2018418312072754,1.7444854974746704,2.6264498233795166,0.06741837412118912,0.027886413037776947,188,938.3023681640625,70.80390930175781,2.537813663482666,2.431579351425171,1.9808238744735718,2.734262466430664,0.15486006438732147,0.10691791772842407,288,519.3190307617188,79.18910217285156,2.8835999965667725,6.032005310058594,3.081766366958618,4.671957015991211,0.15306025743484497,0.1287110149860382,812,489.7967224121094,59.01431655883789,3.5050222873687744,7.951874256134033,3.7090203762054443,5.870132923126221,0.4974021017551422,0.29205647110939026
1024,4,2066,90,1401.6423894708807,92,2.2226908206939697,0.07364694774150848,0.08323989808559418,0.4222504198551178,0.8670662375972109,3.427279233932495,0.7535744322960471,0.7535744322960471,0.8145454545454546,0.8145454545454546,0.7828746177370031,0.21607669616519173,0.7839233038348082,1063,293,204,896,0.22181818181818183,1063,934.4276123046875,64.36439514160156,1.966346263885498,2.2568509578704834,1.7516090869903564,2.6873393058776855,0.06653666496276855,0.023412499576807022,293,934.4334716796875,68.80065155029297,2.4617486000061035,2.146144151687622,1.8702850341796875,2.472144842147827,0.1438390016555786,0.0965353325009346,204,527.0576782226562,83.41867065429688,2.4399614334106445,2.942988634109497,2.74638032913208,2.810835123062134,0.13753829896450043,0.12211056798696518,896,490.802490234375,59.593379974365234,3.5477709770202637,8.177081108093262,3.7265756130218506,6.02882719039917,0.48707327246665955,0.2966860830783844
1024,4,3066,93,1304.767039905895,59,2.8224525451660156,0.07892058044672012,0.08649037033319473,0.43834835290908813,0.843947774202199,4.6402153968811035,0.7778846153846154,0.7778846153846154,0.7354545454545455,0.7354545454545455,0.7560747663551401,0.17035398230088494,0.8296460176991151,1125,231,291,809,0.20545454545454545,1125,934.4260864257812,64.32151794433594,1.987375020980835,2.270639181137085,1.7619582414627075,2.6800007820129395,0.07194707542657852,0.02436147630214691,231,934.442626953125,70.1408462524414,2.4923007488250732,2.0499072074890137,1.8517358303070068,2.4519474506378174,0.15731807053089142,0.09947747737169266,291,516.8026123046875,77.33570861816406,2.4897892475128174,3.5923376083374023,2.7514805793762207,2.7990071773529053,0.17696288228034973,0.15554942190647125,809,490.5924072265625,60.198150634765625,3.648981809616089,8.456061363220215,3.8301515579223633,6.2707929611206055,0.5323696136474609,0.3079974055290222
2048,4,2090,89,1141.1095331365411,56,2.497830629348755,0.060537733137607574,0.06651229411363602,0.42196494340896606,0.8593624296057925,4.1165690422058105,0.7721866422689845,0.7721866422689845,0.7672727272727272,0.7672727272727272,0.7697218422252622,0.1836283185840708,0.8163716814159292,1107,249,256,844,0.24272727272727274,1107,933.8414916992188,64.38712310791016,1.983628511428833,2.2735283374786377,1.756980538368225,2.7114245891571045,0.052321456372737885,0.021249648183584213,249,937.0400390625,69.40392303466797,2.472456932067871,2.0527892112731934,1.8673752546310425,2.310340404510498,0.12960171699523926,0.09491125494241714,256,522.4445190429688,78.90275573730469,2.5839223861694336,3.639483690261841,2.886399984359741,3.001246452331543,0.13265515863895416,0.128770649433136,844,489.968017578125,59.801918029785156,3.5723588466644287,8.311579704284668,3.7444961071014404,6.146908760070801,0.5097177028656006,0.3090987801551819
2048,4,3090,83,1196.3520951704545,60,2.4972918033599854,0.06759092211723328,0.0752057135105133,0.4461190402507782,0.8593262268704746,5.173928737640381,0.8232217573221757,0.8232217573221757,0.7154545454545455,0.7154545454545455,0.7655642023346303,0.12463126843657817,0.8753687315634219,1187,169,313,787,0.35454545454545455,1187,934.0542602539062,65.517578125,1.9886189699172974,2.2380104064941406,1.7402843236923218,2.6472485065460205,0.06197671964764595,0.029190881177783012,169,937.060302734375,64.0643310546875,2.668804407119751,2.1845226287841797,2.03690242767334,2.59684157371521,0.16812174022197723,0.11335860937833786,313,515.880859375,78.83960723876953,2.861934185028076,5.84857702255249,3.0596296787261963,4.544389724731445,0.15723752975463867,0.13567158579826355,787,490.2263488769531,58.85708236694336,3.533379554748535,8.057744979858398,3.7377495765686035,5.941575527191162,0.5610109567642212,0.31216031312942505
